id;title
BScGM1_1;Mikroökonomik\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie
BScGM1_2;Mathematik\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM1_3;Einführung in die BWL\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie / Orthobionik
BScGM1_4;Gründungsmanagement\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie/ Orthobionik
BScGM1_5;Methodisches Arbeiten\\ I B.Sc. General Management / Business Administration
BScGM1_6;Grundlagen der Wirtschaftsinformatik\\ I B.Sc. General Management / Business Administration
BScGM1_7;Buchführung und Abschluss\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie
BScGM1_8;Kosten- und Leistungsrechnung\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie / Orthobionik
BScGM1_9;Methodisches Arbeiten II\\ B.Sc. General Management / Business Administration
BScGM1_10_1;Englisch I\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM1_10_2;Englisch I\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM1_11_1;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_11_2;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_11_3;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_11_4;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_12;Zeitmanagment\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM2_1;Wirtschaftsrecht\\ B.Sc. General Management / Business Administration
BScGM2_2;Steuerrecht\\ B.Sc. General Management / Business Administration
BScGM2_3;Handelsrechtliche Bewertung\\ B.Sc. General Management / Business Administration
BScGM2_4;Makroökonomik\\ B.Sc. General Management / Business Administration
BScGM2_5;Grundlagen Wirtschaftsinformatik II\\ B.Sc. General Management / Business Administration
BScGM2_6;Statistik\\ B.Sc. General Management / Business Administration
BScGM2_7;Produktion\\ B.Sc. General Management / Business Administration / B. Sc. Witschaftspsychologie / B. Sc. Orthobionik
BScGM2_8;Marketing\\ B.Sc. General Management / Business Administration / B. Sc. Witschaftspsychologie/ B. Sc. Orthobionik
BScGM2_9;Vertrieb\\ B.Sc. General Management / Business Administration / B. Sc. Witschaftspsychologie / B. Sc. Orthobionik
BScGM2_10;Englisch II\\ B.Sc. General Management / Business Administration /  B. Sc. Orthobionik
BScGM2_11;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM2_12;Soft Skills Präsentationstechniken / Visualisierung / Rhetorik\\ B.Sc. General Management / Business Administration /  B. Sc. Orthobionik
BScGM3_1;Finanzierung / Investition\\ B.Sc. General Management / Business Administration / Orthobionik / Wirtschaftspsychologie
BScGM3_2;Organisation / Personal\\ B.Sc. General Management / Business Administration / Orthobionik / Wirtschaftspsychologie
BScGM3_3;Logistische Prozesse\\ B.Sc. General Management / Business Administration / Orthobionik / Wirtschaftspsychologie
BScGM3_4;Grundlagen Wirtschaftsinformatik III\\ B.Sc. General Management / Business Administration
BScGM3_5;Methoden des Business Intelligence Analytics I und II\\ B.Sc. General Management / Business Administration 
BScGM3_6;Grundlagen des Entrepreneurships\\ B.Sc. Business Administration
BScGM3_7;Grundlagen Innovationsmanagement\\ B.Sc. Business Administration
BScGM3_10;Fallstudien\\ B.Sc. General Management / Business Administration
BScGM3_11;Englisch III\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM3_12;Fremdsprache III\\ B.Sc. General Management / Business Administration
BScGM3_13;Soft Skills III\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM4_1;Controlling\\ B.Sc. General Management / Business Administration/ Orthobionik
BScGM4_2;Kostenrechnungssysteme\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM4_3;Bilanzen\\ B.Sc. General Management/ Business Administration
BScGM4_4;Planspiel\\ B.Sc. General Management/ Business Administration / Orthobionik
BScGM4_5;Internationales Management\\ B.Sc. General Management / Business Administration
BScGM4_6;Wirtschaftspolitik\\ B.Sc. General Management /Business Administration
BScGM4_7;Englisch IV\\ B.Sc. General Management/ Business Administration / Orthobionik
BScGM4_8;Fremdsprache IV\\ B.Sc. General Management/ Business Administration
BScGM4_9;Soft Skills IV Teamtraining\\ B.Sc. General Management / Business Administration
BScGM4_10;Business Process Management\\ B.Sc. General Management / Business Administration
BScGM5_1;Corporate Law\\ B.Sc. General Management / Business Administration
BScGM5_2;Executive Management\\ B.Sc. General Management / Business Administration
BScGM5_3;Strategisches Food and Agribusiness Management\\  Business Administration
BScGM5_4;Marketing für Lebensmittel und Agrarprodukte\\ Business Administration
BScGM5_5;Vertiefungsfach BWL I Internationales Marketing\\ B.Sc. General Management / Business Administration
BScGM5_6;Vertiefungsfach BWL I Tourism and Travel Management\\ B. Sc. General Management / Business Administraion
BScGM5_7;Vertiefungsfach BWL I Vertriebsmanagment\\ B.Sc. General Management / Business Administration
BScGM5_8;Vertiefungsfach BWL I Banking / Finance\\ B.Sc. General Management / Business Administration
BScGM5_9;Vertiefungsfach BWL I International Accounting/Controlling\\ B.Sc. General Management / Business Administration
BScGM5_10;Vertiefungsfach BWL I Entrepreneurship\\ B.Sc. General Management / Business Administration
BScGM5_11;Vertiefungsfach BWL I Industrielles Management\\ Business Adminstration / B.Sc. General Management
BScGM5_12_1;Englisch V\\ B.Sc. General Management / Business Administration
BScGM5_12_2;Englisch V\\ B.Sc. Orthobionik 
BScGM5_13_1;Fremdsprache V\\ B.Sc. General Management / Business Administration 
BScGM5_13_2;Fremdsprache V\\ B.Sc. General Management / Business Administration 
BScGM5_13_3;Fremdsprache V\\ B.Sc. General Management / Business Administration 
BScGM5_14;Soft Skills V, Gesprächs- und Verhandlungsführung\\ B.Sc. General Management / Business Administration
BScPsy1_1;

BScPsy1_1;Historische Entwicklung der Psychologie\\ B.Sc. Psychologie/ Wirtschaftspsychologie
BScPsy1_2;Einführung in die Forschungsmethoden\\ B.Sc. Psychologie
BScPsy1_3;Aktuelle Forschungsfelder der Psychologie\\ B.Sc. Psychologie/ Wirtschaftspsychologie
