Studiengang;Veranstaltung;Dozent;Dozentenwahl
BScGM1;Mikroökonomik;Prof. Dr. Joachim Ahrens;0
BScGM1;Mathematik;Markus Ahlborn;0
BScGM1;Einführung in die BWL;Prof. Dr. Frank Albe;0
BScGM1;Gründungsmanagement;Prof. Dr. Bernhard H. Vollmar;0
BScGM1;Methodisches Arbeiten I;Prof. Dr. Joachim Ahrens;0
BScGM1;Grundlagen der Wirtschaftsinformatik I;Prof. Dr. Hubert Schüle;0
BScGM1;Buchführung und Abschluss;Prof. Dr. Antje Mörstedt;0
BScGM1;Kosten- und Leistungsrechnung;Prof. Dr. Manfred P. Zilling;0
BScGM1;Methodisches Arbeiten II;Joachim Algermissen;0
BScGM1;Englisch I;Robert Óbraonáin, Hiltraud Haindorff, N.N.;1
BScGM1;2. Fremdsprache;Chinesisch - Weihong Chen-Dieckmann, Spanisch Fortgeschrittene - Mónica Naranjo-Merboldt, Spanisch - Heike Georges, Französisch - Heike Georges;1
BScGM1;Zeitmanagement;Björn Thullner;0
BScGM2;Wirtschaftsrecht;Prof. Dr. Bernd Rohlfing;0
BScGM2;Steuerrecht;Dr. Frank Oettler;0
BScGM2;Handelsrechtliche Bewertung;Prof. Dr. Antje-Britta Mörstedt;0
BScGM2;Makroökonomik;Prof. Dr. Joachim Ahrens;0
BScGM2;Grundlagen Wirtschaftsinformatik II;Prof. Dr. Hubert Schüle;0
BScGM2;Statistik;Dr. Andrea Eickemeyer;0
BScGM2;Produktion;Prof. Dr. Jürgen Bloech;0
BScGM2;Marketing;Prof. Dr. Hans-Christian Riekhof;0
BScGM2;Vertrieb;Prof. Dr. Michael Heinlein;0
BScGM2;Englisch II;Robert Óbraonáin, Hiltraud Haindorff, Antje Menster;1
BScGM2;2. Fremdsprache;Französisch - Heike Georges, Spanisch - Mónica Naranjo-Merboldt, Spanisch - Heike Georges, Chinesisch - Weihong Chen-Dieckmann;1
BScGM2;Präsentationstechniken / Visualisierung / Rhetorik;Björn Thullner;0
BScGM3;Finanzierung/Investition;Prof. Dr. Bernhard H. Vollmar;0
BScGM3;Organisation/Personal;Prof. Dr. Antje-Britta Mörstedt;0
BScGM3;Logistische Prozesse;Dr. Lothar Herold;0
BScGM3;Grundlagen Wirtschaftsinformatik III;Prof. Hubert Schüle;0
BScGM3;Methoden des Business Intelligence Analytics I und II;Prof. Hubert Schüle;0
BScGM3;Grundlagen des Entrepreneurships Modul;Prof. Dr. Bernhard H. Vollmar / Prof. Dr. Manfred Zilling;0
BScGM3;Grundlagen Innovationsmanagement;Prof. Dr. Manfred Zilling;0
BScGM3;BWL ausgewählter Wirtschaftssektoren;Prof. Dr. Michael Heinlein;0
BScGM3;Globale Wirtschaft;Prof. Dr. Joachim Ahrens;0
BScGM3;Praxisprojekte/Fallstudien;Städtischer Auftraggeber - Prof. Dr. Riekhof, GIS AG Hannover - Prof. Dr. Schüle, Bäckerei Thiele - Prof. Dr. Riekhof, Ernst Neumärker GmbH \& Co. KG - Prof. Dr. Mörstedt, POCO Einrichtungsmärkte GmbH - Prof. Dr. Ahrens, Sartorius AG - Prof. Dr. Ahrens, ZE Zentrum für Entrepreneurship - Prof. Dr. Vollmar, YourCar GmbH, Göttingen - Prof. Dr. Vollmar, alto.Red GmbH - Prof. Dr. Sierke, Göttinger Filmnetzwerk e.V. - Prof. Dr. Sierke;1
BScGM3;Englisch III;Robert Óbraonáin, Hiltraud Haindorff, Antje Menster;1
BScGM3;2. Fremdsprache III;Chinesisch - Weihong Chen-Dieckmann, Spanisch Fortgeschrittene - Mónica Naranjo-Merboldt, Spanisch - Heike Georges, Französisch - Heike Georges;1
BScGM3;Soft Skills III;Michael Ballhause;0
BScGM4;Controlling;Prof. Dr. Frank Albe;0
BScGM4;Kostenrechnungssysteme;Prof. Dr. Frank Albe;0
BScGM4;Bilanzen;Prof. Dr. Michael Dusemond;0
BScGM4;Planspiel;Prof. Dr. Frank Albe;0
BScGM4;Internationales Management;Prof. Dr. Hans-Christian Riekhof;0
BScGM4;Wirtschaftspolitik;Prof. Dr. Joachim Ahrens;0
BScGM4;Englisch IV;Antje Menster, Hiltraud Haindorff, Susan Schanz;1
BScGM4;Fremdsprache IV;Chinesisch -  Weihong Chen-Dieckmann, Spanisch - Mónica Naranjo-Merboldt, Spanisch - Heike Georges;1
BScGM4;Teamtraining;Herr Björn Thullner;0
BScGM4;Business Process Management;Prof. Dr. Hubert Schüle;0
BScGM5;Corporate Law;Prof. Dr. Bernd Rohlfing;0
BScGM5;Executive Management;Prof. Dr. Frank Albe und Prof. Dr. Hans-Christian Riekhof;0
BScGM5;Strategisches Food and Agribusiness Management;Prof. Dr. Julian Voss;0
BScGM5;Marketing für Lebensmittel und Agrarprodukte;Prof. Dr. Julian Voss;0
BScGM5;Internationales Marketing;Prof. Dr. Hans Christian Riekhof;0
